"10-digit PSGC","Name","Correspondence Code","Geographic Level","Old names","City Class","Income
Classification","Urban / Rural
(based on 2020 CPH)","2015 Population","","2020 Population","","Status"
"0102911002","Bequi-Walin","012911002","Bgy","","","","R","  550 ","","  555 ","",""
"0102911003","Bugui","012911003","Bgy","","","","R","  273 ","","  239 ","",""
"0102911004","Calungbuyan","012911004","Bgy","","","","R","  224 ","","  235 ","",""
"0102911005","Carcarabasa","012911005","Bgy","","","","R","  401 ","","  432 ","",""
"0102911006","Labut","012911006","Bgy","","","","R","  281 ","","  303 ","",""
"0102911007","Poblacion Norte","012911007","Bgy","","","","R","  974 ","","  963 ","",""
"0102911008","Poblacion Sur","012911008","Bgy","","","","R","  308 ","","  366 ","",""
"0102911009","San Vicente","012911009","Bgy","","","","R","  420 ","","  452 ","",""
"0102911010","Suysuyan","012911010","Bgy","","","","R","  338 ","","  328 ","",""
"0102911011","Tay-ac","012911011","Bgy","","","","R","  173 ","","  156 ","",""
"0102912000","Magsingal","012912000","Mun","","","3rd","","  30,792 ","","  31,308 ","",""
"0102912001","Alangan","012912001","Bgy","","","","R","  844 ","","  940 ","",""
"0102912002","Bacar","012912002","Bgy","","","","R","  622 ","","  584 ","",""
"0102912006","Barbarit","012912006","Bgy","","","","R","  911 ","","  879 ","",""
"0102912007","Bungro","012912007","Bgy","","","","R","  1,466 ","","  1,587 ","",""
"0102912008","Cabaroan","012912008","Bgy","","","","R","  610 ","","  625 ","",""
"0102912010","Cadanglaan","012912010","Bgy","","","","R","  191 ","","  204 ","",""
"0102912011","Caraisan","012912011","Bgy","","","","R","  787 ","","  794 ","",""
"0102912014","Dacutan","012912014","Bgy","","","","R","  820 ","","  884 ","",""
"0102912015","Labut","012912015","Bgy","","","","R","  774 ","","  788 ","",""
"0102912017","Maas-asin","012912017","Bgy","","","","R","  747 ","","  845 ","",""
"0102912018","Macatcatud","012912018","Bgy","","","","R","  928 ","","  894 ","",""
"0102912019","Namalpalan","012912019","Bgy","","","","R","  1,090 ","","  1,199 ","",""
"0102912020","Manzante","012912020","Bgy","","","","R","  1,887 ","","  1,951 ","",""
"0102912022","Maratudo","012912022","Bgy","","","","R","  1,312 ","","  1,319 ","",""
"0102912023","Miramar","012912023","Bgy","","","","R","  1,408 ","","  1,449 ","",""
"0102912025","Napo","012912025","Bgy","","","","R","  1,007 ","","  1,033 ","",""
"0102912026","Pagsanaan Norte","012912026","Bgy","","","","R","  563 ","","  515 ","",""
"0102912027","Pagsanaan Sur","012912027","Bgy","","","","R","  655 ","","  656 ","",""
"0102912028","Panay Norte","012912028","Bgy","","","","R","  1,367 ","","  1,506 ","",""
"0102912029","Panay Sur","012912029","Bgy","","","","R","  683 ","","  673 ","",""
"0102912030","Patong","012912030","Bgy","","","","R","  1,508 ","","  1,534 ","",""
"0102912031","Puro","012912031","Bgy","","","","U","  4,535 ","","  4,785 ","",""
"0102912032","San Basilio ","012912032","Bgy","","","","R","  536 ","","  437 ","","Pob."
"0102912033","San Clemente ","012912033","Bgy","","","","R","  1,074 ","","  924 ","","Pob."
"0102912034","San Julian ","012912034","Bgy","","","","R","  556 ","","  488 ","","Pob."
"0102912035","San Lucas ","012912035","Bgy","","","","R","  670 ","","  664 ","","Pob."
"0102912036","San Ramon ","012912036","Bgy","","","","R","  935 ","","  870 ","","Pob."
"0102912037","San Vicente ","012912037","Bgy","","","","R","  756 ","","  786 ","","Pob."
"0102912038","Santa Monica","012912038","Bgy","","","","U","  792 ","","  766 ","",""
"0102912039","Sarsaracat","012912039","Bgy","","","","R","  758 ","","  729 ","",""
"0102913000","Nagbukel","012913000","Mun","","","5th","","  5,259 ","","  5,465 ","",""
"0102913001","Balaweg","012913001","Bgy","","","","R","  558 ","","  610 ","",""
"0102913002","Bandril","012913002","Bgy","","","","R","  426 ","","  478 ","",""
"0102913003","Bantugo","012913003","Bgy","","","","R","  688 ","","  691 ","",""
"0102913004","Cadacad","012913004","Bgy","","","","R","  237 ","","  230 ","",""
"0102913005","Casilagan","012913005","Bgy","","","","R","  308 ","","  330 ","",""
"0102913006","Cosocos","012913006","Bgy","","","","R","  187 ","","  217 ","",""
"0102913007","Lapting","012913007","Bgy","","","","R","  399 ","","  422 ","",""
"0102913008","Mapisi","012913008","Bgy","","","","R","  367 ","","  362 ","",""
"0102913009","Mission","012913009","Bgy","","","","R","  385 ","","  419 ","",""
"0102913010","Poblacion East","012913010","Bgy","","","","R","  517 ","","  517 ","",""
"0102913011","Poblacion West","012913011","Bgy","","","","R","  546 ","","  578 ","",""
"0102913012","Taleb","012913012","Bgy","","","","R","  641 ","","  611 ","",""
"0102914000","Narvacan","012914000","Mun","","","2nd","","  44,006 ","","  46,234 ","",""
"0102914001","Abuor","012914001","Bgy","","","","R","  1,147 ","","  1,150 ","",""
"0102914002","Ambulogan","012914002","Bgy","","","","R","  1,407 ","","  1,525 ","",""
"0102914004","Aquib","012914004","Bgy","","","","R","  937 ","","  955 ","",""
"0102914005","Banglayan","012914005","Bgy","","","","R","  1,120 ","","  1,146 ","",""
"0102914006","Bulanos","012914006","Bgy","","","","R","  937 ","","  1,074 ","",""
"0102914007","Cadacad","012914007","Bgy","","","","R","  682 ","","  749 ","",""
"0102914008","Cagayungan","012914008","Bgy","","","","R","  1,198 ","","  1,178 ","",""
"0102914009","Camarao","012914009","Bgy","","","","R","  1,321 ","","  1,346 ","",""
"0102914010","Casilagan","012914010","Bgy","","","","R","  647 ","","  771 ","",""
"0102914011","Codoog","012914011","Bgy","","","","R","  952 ","","  929 ","",""
"0102914012","Dasay","012914012","Bgy","","","","R","  1,254 ","","  1,281 ","",""
"0102914013","Dinalaoan","012914013","Bgy","","","","R","  1,103 ","","  1,300 ","",""
"0102914014","Estancia","012914014","Bgy","","","","R","  244 ","","  275 ","",""
"0102914015","Lanipao","012914015","Bgy","","","","R","  647 ","","  677 ","",""
"0102914016","Lungog","012914016","Bgy","","","","R","  2,152 ","","  2,213 ","",""
"0102914017","Margaay","012914017","Bgy","","","","U","  2,227 ","","  2,607 ","",""
"0102914018","Marozo","012914018","Bgy","","","","R","  1,304 ","","  1,427 ","",""
"0102914019","Naguneg","012914019","Bgy","","","","R","  1,947 ","","  2,062 ","",""
"0102914020","Orence","012914020","Bgy","","","","R","  1,876 ","","  1,969 ","",""
"0102914021","Pantoc","012914021","Bgy","","","","R","  1,078 ","","  1,127 ","",""
"0102914022","Paratong","012914022","Bgy","","","","R","  1,612 ","","  1,709 ","",""
"0102914023","Parparia","012914023","Bgy","","","","R","  1,241 ","","  1,301 ","",""
"0102914024","Quinarayan","012914024","Bgy","","","","R","  2,739 ","","  2,730 ","",""
"0102914025","Rivadavia","012914025","Bgy","","","","R","  747 ","","  712 ","",""
"0102914026","San Antonio","012914026","Bgy","","","","R","  1,866 ","","  1,934 ","",""
"0102914027","San Jose ","012914027","Bgy","","","","U","  1,393 ","","  1,375 ","","Pob."
"0102914028","San Pablo","012914028","Bgy","","","","R","  1,228 ","","  1,144 ","",""
"0102914029","San Pedro","012914029","Bgy","","","","R","  1,947 ","","  2,015 ","",""
"0102914030","Santa Lucia ","012914030","Bgy","","","","U","  1,574 ","","  1,521 ","","Pob."
"0102914031","Sarmingan","012914031","Bgy","","","","R","  520 ","","  640 ","",""
"0102914032","Sucoc","012914032","Bgy","","","","R","  1,517 ","","  1,559 ","",""
"0102914033","Sulvec","012914033","Bgy","","","","R","  2,005 ","","  2,277 ","",""
"0102914034","Turod","012914034","Bgy","","","","R","  619 ","","  670 ","",""
"0102914035","Bantay Abot","012914035","Bgy","","","","R","  818 ","","  886 ","",""
"0102915000","Quirino","012915000","Mun","Angkaki","","4th","","  8,573 ","","  9,306 ","",""
"0102915001","Banoen","012915001","Bgy","","","","R","  636 ","","  673 ","",""
"0102915002","Cayus","012915002","Bgy","","","","R","  721 ","","  860 ","",""
"0102915003","Patungcaleo","012915003","Bgy","Lamag","","","R","  1,117 ","","  1,194 ","",""
"0102915004","Malideg","012915004","Bgy","","","","R","  782 ","","  865 ","",""
"0102915005","Namitpit","012915005","Bgy","","","","R","  1,266 ","","  1,269 ","",""
"0102915006","Patiacan","012915006","Bgy","","","","R","  953 ","","  888 ","",""
"0102915007","Legleg ","012915007","Bgy","","","","R","  1,865 ","","  2,098 ","","Pob."
"0102915008","Suagayan","012915008","Bgy","","","","R","  680 ","","  767 ","",""
"0102915009","Lamag","012915009","Bgy","Tubtuba","","","R","  553 ","","  692 ","",""
"0102916000","Salcedo","012916000","Mun","Baugen","","4th","","  11,288 ","","  11,110 ","",""
"0102916001","Atabay","012916001","Bgy","","","","R","  288 ","","  285 ","",""
"0102916002","Calangcuasan","012916002","Bgy","","","","R","  1,079 ","","  1,130 ","",""
"0102916003","Balidbid","012916003","Bgy","","","","R","  1,181 ","","  1,273 ","",""
"0102916004","Baluarte","012916004","Bgy","","","","R","  690 ","","  658 ","",""
"0102916005","Baybayading","012916005","Bgy","","","","R","  248 ","","  189 ","",""
"0102916006","Boguibog","012916006","Bgy","","","","R","  734 ","","  648 ","",""
"0102916007","Bulala-Leguey","012916007","Bgy","","","","R","  306 ","","  295 ","",""
"0102916008","Kaliwakiw","012916008","Bgy","","","","R","  374 ","","  366 ","",""
"0102916010","Culiong","012916010","Bgy","","","","R","  271 ","","  280 ","",""
"0102916011","Dinaratan","012916011","Bgy","","","","R","  811 ","","  758 ","",""
"0102916012","Kinmarin","012916012","Bgy","","","","R","  382 ","","  370 ","",""
"0102916013","Lucbuban","012916013","Bgy","","","","R","  539 ","","  551 ","",""
"0102916014","Madarang","012916014","Bgy","","","","R","  303 ","","  254 ","",""
"0102916015","Maligcong","012916015","Bgy","","","","R","  323 ","","  299 ","",""
"0102916016","Pias","012916016","Bgy","","","","R","  546 ","","  485 ","",""
"0102916017","Poblacion Norte","012916017","Bgy","","","","R","  845 ","","  910 ","",""
"0102916018","Poblacion Sur","012916018","Bgy","","","","R","  597 ","","  598 ","",""
"0102916019","San Gaspar","012916019","Bgy","","","","R","  369 ","","  386 ","",""
"0102916020","San Tiburcio","012916020","Bgy","","","","R","  600 ","","  596 ","",""
"0102916021","Sorioan","012916021","Bgy","","","","R","  622 ","","  595 ","",""
"0102916022","Ubbog","012916022","Bgy","","","","R","  180 ","","  184 ","",""
"0102917000","San Emilio","012917000","Mun","","","4th","","  7,407 ","","  7,206 ","",""
"0102917001","Cabaroan ","012917001","Bgy","","","","R","  1,146 ","","  1,121 ","","Pob."
"0102917002","Kalumsing","012917002","Bgy","","","","R","  710 ","","  731 ","",""
"0102917003","Lancuas","012917003","Bgy","","","","R","  889 ","","  932 ","",""
"0102917004","Matibuey","012917004","Bgy","","","","R","  1,064 ","","  1,060 ","",""
"0102917005","Paltoc","012917005","Bgy","","","","R","  562 ","","  541 ","",""
"0102917006","Sibsibbu","012917006","Bgy","","","","R","  656 ","","  621 ","",""
"0102917007","Tiagan","012917007","Bgy","","","","R","  1,710 ","","  1,524 ","",""
"0102917008","San Miliano","012917008","Bgy","","","","R","  670 ","","  676 ","",""
"0102918000","San Esteban","012918000","Mun","","","5th","","  8,349 ","","  8,381 ","",""
"0102918001","Ansad","012918001","Bgy","","","","R","  692 ","","  643 ","",""
"0102918002","Apatot","012918002","Bgy","","","","R","  1,678 ","","  1,590 ","",""
"0102918003","Bateria","012918003","Bgy","","","","R","  512 ","","  506 ","",""
"0102918004","Cabaroan","012918004","Bgy","","","","R","  867 ","","  882 ","",""
"0102918005","Cappa-cappa","012918005","Bgy","","","","R","  811 ","","  813 ","",""
"0102918006","Poblacion","012918006","Bgy","","","","R","  745 ","","  801 ","",""
"0102918007","San Nicolas","012918007","Bgy","","","","R","  945 ","","  1,073 ","",""
"0102918008","San Pablo","012918008","Bgy","","","","R","  1,030 ","","  978 ","",""
"0102918009","San Rafael","012918009","Bgy","","","","R","  659 ","","  721 ","",""
"0102918010","Villa Quirino","012918010","Bgy","","","","R","  410 ","","  374 ","",""
"0102919000","San Ildefonso","012919000","Mun","","","5th","","  7,787 ","","  8,190 ","",""
"0102919001","Arnap","012919001","Bgy","","","","R","  218 ","","  244 ","",""
"0102919002","Bahet","012919002","Bgy","","","","U","  836 ","","  990 ","",""
"0102919003","Belen","012919003","Bgy","","","","R","  140 ","","  120 ","",""
"0102919004","Bungro","012919004","Bgy","","","","R","  702 ","","  688 ","",""
"0102919006","Busiing Sur","012919006","Bgy","","","","R","  584 ","","  664 ","",""
"0102919007","Busiing Norte","012919007","Bgy","","","","R","  824 ","","  934 ","",""
"0102919009","Dongalo","012919009","Bgy","","","","R","  347 ","","  379 ","",""
"0102919010","Gongogong","012919010","Bgy","","","","R","  336 ","","  350 ","",""
"0102919011","Iboy","012919011","Bgy","","","","R","  446 ","","  467 ","",""
"0102919013","Otol-Patac","012919013","Bgy","","","","R","  486 ","","  597 ","",""
"0102919014","Poblacion East","012919014","Bgy","","","","R","  1,001 ","","  722 ","",""
"0102919015","Poblacion West","012919015","Bgy","","","","R","  559 ","","  616 ","",""
"0102919016","Kinamantirisan","012919016","Bgy","","","","R","  276 ","","  296 ","",""
"0102919017","Sagneb","012919017","Bgy","","","","R","  336 ","","  357 ","",""
"0102919018","Sagsagat","012919018","Bgy","","","","R","  696 ","","  766 ","",""
"0102920000","San Juan","012920000","Mun","Lapog","","3rd","","  26,411 ","","  26,674 ","",""
"0102920001","Bacsil","012920001","Bgy","","","","R","  1,068 ","","  1,012 ","",""
"0102920002","Baliw","012920002","Bgy","","","","R","  859 ","","  922 ","",""
"0102920003","Bannuar ","012920003","Bgy","","","","R","  1,269 ","","  1,250 ","","Pob."
"0102920004","Barbar","012920004","Bgy","","","","R","  1,486 ","","  1,360 ","",""
"0102920005","Cabanglotan","012920005","Bgy","","","","R","  966 ","","  1,014 ","",""
"0102920006","Cacandongan","012920006","Bgy","","","","R","  326 ","","  324 ","",""
"0102920007","Camanggaan","012920007","Bgy","","","","R","  641 ","","  650 ","",""
"0102920008","Camindoroan","012920008","Bgy","","","","R","  816 ","","  917 ","",""
"0102920009","Caronoan","012920009","Bgy","","","","R","  673 ","","  670 ","",""
"0102920010","Darao","012920010","Bgy","","","","R","  417 ","","  430 ","",""
"0102920012","Dardarat","012920012","Bgy","","","","R","  627 ","","  542 ","",""
"0102920013","Guimod Norte","012920013","Bgy","","","","R","  376 ","","  381 ","",""
"0102920014","Guimod Sur","012920014","Bgy","","","","R","  997 ","","  959 ","",""
"0102920015","Immayos Norte","012920015","Bgy","","","","R","  729 ","","  713 ","",""
"0102920016","Immayos Sur","012920016","Bgy","","","","R","  237 ","","  255 ","",""
"0102920017","Labnig","012920017","Bgy","","","","R","  1,060 ","","  1,137 ","",""
"0102920018","Lapting","012920018","Bgy","","","","R","  1,109 ","","  1,215 ","",""
"0102920019","Lira ","012920019","Bgy","","","","R","  896 ","","  888 ","","Pob."
"0102920020","Malamin","012920020","Bgy","","","","R","  656 ","","  699 ","",""
"0102920021","Muraya","012920021","Bgy","","","","R","  702 ","","  753 ","",""
"0102920022","Nagsabaran","012920022","Bgy","","","","R","  896 ","","  953 ","",""
"0102920023","Nagsupotan","012920023","Bgy","","","","R","  1,319 ","","  1,414 ","",""
"0102920025","Pandayan ","012920025","Bgy","","","","R","  797 ","","  577 ","","Pob."
"0102920027","Refaro","012920027","Bgy","","","","R","  1,389 ","","  1,347 ","",""
"0102920028","Resurreccion ","012920028","Bgy","","","","R","  1,116 ","","  1,013 ","","Pob."
"0102920029","Sabangan","012920029","Bgy","","","","R","  671 ","","  731 ","",""
"0102920031","San Isidro","012920031","Bgy","","","","R","  828 ","","  825 ","",""
"0102920035","Saoang","012920035","Bgy","","","","R","  845 ","","  864 ","",""
"0102920037","Solotsolot","012920037","Bgy","","","","R","  811 ","","  760 ","",""
"0102920038","Sunggiam","012920038","Bgy","","","","R","  1,098 ","","  1,132 ","",""
"0102920039","Surngit","012920039","Bgy","","","","R","  466 ","","  524 ","",""
"0102920040","Asilang","012920040","Bgy","","","","R","  265 ","","  443 ","",""
"0102921000","San Vicente","012921000","Mun","","","5th","","  12,758 ","","  13,118 ","",""
"0102921001","Bantaoay","012921001","Bgy","","","","R","  1,768 ","","  1,820 ","",""
"0102921002","Bayubay Norte","012921002","Bgy","","","","R","  1,317 ","","  1,368 ","",""
"0102921003","Bayubay Sur","012921003","Bgy","","","","U","  1,685 ","","  1,822 ","",""
"0102921004","Lubong","012921004","Bgy","","","","R","  1,203 ","","  1,190 ","",""
"0102921005","Poblacion","012921005","Bgy","","","","R","  1,250 ","","  1,252 ","",""
"0102921006","Pudoc","012921006","Bgy","","","","R","  2,414 ","","  2,278 ","",""
"0102921007","San Sebastian","012921007","Bgy","","","","R","  3,121 ","","  3,388 ","",""
"0102922000","Santa","012922000","Mun","","","4th","","  15,340 ","","  14,992 ","",""
"0102922001","Ampandula","012922001","Bgy","","","","R","  671 ","","  602 ","",""
"0102922002","Banaoang","012922002","Bgy","","","","R","  487 ","","  511 ","",""
"0102922003","Basug","012922003","Bgy","","","","R","  239 ","","  224 ","",""
"0102922004","Bucalag","012922004","Bgy","","","","R","  232 ","","  153 ","",""
"0102922005","Cabangaran","012922005","Bgy","","","","R","  263 ","","  265 ","",""
"0102922006","Calungboyan","012922006","Bgy","","","","R","  593 ","","  547 ","",""
"0102922008","Casiber","012922008","Bgy","","","","R","  584 ","","  533 ","",""
"0102922009","Dammay","012922009","Bgy","","","","R","  186 ","","  159 ","",""
"0102922010","Labut Norte","012922010","Bgy","","","","R","  571 ","","  554 ","",""
"0102922011","Labut Sur","012922011","Bgy","","","","R","  261 ","","  280 ","",""
"0102922012","Mabilbila Sur","012922012","Bgy","","","","R","  1,948 ","","  1,996 ","",""
"0102922013","Mabilbila Norte","012922013","Bgy","","","","R","  685 ","","  673 ","",""
"0102922014","Magsaysay District ","012922014","Bgy","","","","R","  982 ","","  953 ","","Pob."
"0102922015","Manueva","012922015","Bgy","","","","R","  955 ","","  971 ","",""
"0102922016","Marcos ","012922016","Bgy","","","","R","  588 ","","  480 ","","Pob."
"0102922017","Nagpanaoan","012922017","Bgy","","","","R","  762 ","","  749 ","",""
"0102922018","Namalangan","012922018","Bgy","","","","R","  756 ","","  638 ","",""
"0102922019","Oribi","012922019","Bgy","","","","R","  192 ","","  171 ","",""
"0102922020","Pasungol","012922020","Bgy","","","","R","  550 ","","  875 ","",""
"0102922022","Quezon ","012922022","Bgy","","","","R","  325 ","","  314 ","","Pob."
"0102922023","Quirino ","012922023","Bgy","","","","R","  333 ","","  326 ","","Pob."
"0102922024","Rancho","012922024","Bgy","","","","R","  667 ","","  659 ","",""
"0102922025","Rizal","012922025","Bgy","","","","R","  852 ","","  868 ","",""
"0102922026","Sacuyya Norte","012922026","Bgy","","","","R","  843 ","","  724 ","",""
"0102922027","Sacuyya Sur","012922027","Bgy","","","","U","  571 ","","  538 ","",""
"0102922028","Tabucolan","012922028","Bgy","","","","R","  244 ","","  229 ","",""
"0102923000","Santa Catalina","012923000","Mun","","","5th","","  13,945 ","","  14,493 ","",""
"0102923001","Cabaroan","012923001","Bgy","","","","R","  1,294 ","","  1,362 ","",""
"0102923002","Cabittaogan","012923002","Bgy","","","","R","  2,621 ","","  2,490 ","",""
"0102923003","Cabuloan","012923003","Bgy","","","","R","  1,374 ","","  1,408 ","",""
"0102923004","Pangada","012923004","Bgy","","","","R","  804 ","","  902 ","",""
"0102923005","Paratong","012923005","Bgy","","","","R","  1,154 ","","  1,206 ","",""
"0102923006","Poblacion","012923006","Bgy","","","","R","  1,439 ","","  1,435 ","",""
"0102923007","Sinabaan","012923007","Bgy","","","","R","  1,237 ","","  1,379 ","",""
"0102923008","Subec","012923008","Bgy","","","","R","  1,181 ","","  1,168 ","",""
"0102923009","Tamorong","012923009","Bgy","","","","R","  2,841 ","","  3,143 ","",""
"0102924000","Santa Cruz","012924000","Mun","","","1st","","  39,868 ","","  41,366 ","",""
"0102924001","Amarao","012924001","Bgy","","","","R","  664 ","","  568 ","",""
"0102924002","Babayoan","012924002","Bgy","","","","R","  581 ","","  603 ","",""
"0102924003","Bacsayan","012924003","Bgy","","","","R","  465 ","","  487 ","",""
"0102924004","Banay","012924004","Bgy","","","","R","  446 ","","  497 ","",""
"0102924005","Bayugao Este","012924005","Bgy","","","","R","  325 ","","  300 ","",""
"0102924006","Bayugao Oeste","012924006","Bgy","","","","R","  599 ","","  597 ","",""
"0102924007","Besalan","012924007","Bgy","","","","R","  1,028 ","","  1,089 ","",""
"0102924008","Bugbuga","012924008","Bgy","","","","R","  842 ","","  827 ","",""
"0102924009","Calaoaan","012924009","Bgy","","","","R","  1,495 ","","  1,533 ","",""
"0102924010","Camanggaan","012924010","Bgy","","","","R","  1,132 ","","  1,150 ","",""
"0102924011","Candalican","012924011","Bgy","","","","R","  510 ","","  530 ","",""
"0102924012","Capariaan","012924012","Bgy","","","","R","  1,525 ","","  1,494 ","",""
"0102924013","Casilagan","012924013","Bgy","","","","R","  842 ","","  891 ","",""
"0102924014","Coscosnong","012924014","Bgy","","","","R","  456 ","","  499 ","",""
"0102924015","Daligan","012924015","Bgy","","","","R","  567 ","","  639 ","",""
"0102924016","Dili","012924016","Bgy","","","","R","  1,776 ","","  1,956 ","",""
"0102924017","Gabor Norte","012924017","Bgy","","","","R","  1,101 ","","  961 ","",""
"0102924018","Gabor Sur","012924018","Bgy","","","","R","  707 ","","  710 ","",""
"0102924019","Lalong","012924019","Bgy","","","","R","  309 ","","  304 ","",""
"0102924020","Lantag","012924020","Bgy","","","","R","  969 ","","  1,006 ","",""
"0102924021","Las-ud","012924021","Bgy","","","","R","  571 ","","  681 ","",""
"0102924022","Mambog","012924022","Bgy","","","","R","  1,081 ","","  1,147 ","",""
"0102924023","Mantanas","012924023","Bgy","","","","R","  1,311 ","","  1,309 ","",""
"0102924024","Nagtengnga","012924024","Bgy","","","","R","  987 ","","  985 ","",""
"0102924025","Padaoil","012924025","Bgy","","","","R","  595 ","","  588 ","",""
"0102924026","Paratong","012924026","Bgy","","","","R","  637 ","","  658 ","",""
"0102924027","Pattiqui","012924027","Bgy","","","","R","  658 ","","  822 ","",""
"0102924028","Pidpid","012924028","Bgy","","","","R","  768 ","","  823 ","",""
"0102924029","Pilar","012924029","Bgy","","","","R","  1,576 ","","  1,678 ","",""
"0102924030","Pinipin","012924030","Bgy","","","","R","  1,135 ","","  1,222 ","",""
"0102924031","Poblacion Este","012924031","Bgy","","","","U","  754 ","","  705 ","",""
"0102924032","Poblacion Norte","012924032","Bgy","","","","R","  944 ","","  1,003 ","",""
"0102924033","Poblacion Weste","012924033","Bgy","","","","R","  460 ","","  446 ","",""
"0102924034","Poblacion Sur","012924034","Bgy","","","","R","  603 ","","  687 ","",""
"0102924035","Quinfermin","012924035","Bgy","","","","R","  253 ","","  276 ","",""
"0102924036","Quinsoriano","012924036","Bgy","","","","R","  616 ","","  562 ","",""
"0102924037","Sagat","012924037","Bgy","","","","R","  1,150 ","","  1,327 ","",""
"0102924038","San Antonio","012924038","Bgy","","","","R","  467 ","","  544 ","",""
"0102924039","San Jose","012924039","Bgy","","","","R","  620 ","","  606 ","",""
"0102924040","San Pedro","012924040","Bgy","","","","R","  591 ","","  584 ","",""
"0102924041","Saoat","012924041","Bgy","","","","R","  360 ","","  490 ","",""
"0102924042","Sevilla","012924042","Bgy","","","","R","  1,541 ","","  1,459 ","",""
"0102924043","Sidaoen","012924043","Bgy","","","","U","  994 ","","  958 ","",""
"0102924044","Suyo","012924044","Bgy","","","","R","  1,027 ","","  1,102 ","",""
"0102924045","Tampugo","012924045","Bgy","","","","R","  318 ","","  374 ","",""
"0102924046","Turod","012924046","Bgy","","","","R","  551 ","","  602 ","",""
"0102924047","Villa Garcia","012924047","Bgy","","","","R","  1,066 ","","  1,095 ","",""
"0102924048","Villa Hermosa","012924048","Bgy","","","","R","  1,609 ","","  1,684 ","",""
"0102924049","Villa Laurencia","012924049","Bgy","","","","R","  286 ","","  308 ","",""
"0102925000","Santa Lucia","012925000","Mun","","","3rd","","  25,402 ","","  25,966 ","",""
"0102925001","Alincaoeg","012925001","Bgy","","","","R","  494 ","","  497 ","",""
"0102925002","Angkileng","012925002","Bgy","","","","R","  796 ","","  755 ","",""
"0102925003","Arangin","012925003","Bgy","","","","R","  399 ","","  363 ","",""
"0102925004","Ayusan ","012925004","Bgy","","","","R","  1,149 ","","  1,213 ","","Pob."
"0102925005","Banbanaba","012925005","Bgy","","","","R","  490 ","","  492 ","",""
"0102925006","Bao-as","012925006","Bgy","","","","R","  693 ","","  776 ","",""
"0102925007","Barangobong ","012925007","Bgy","","","","R","  1,064 ","","  817 ","","Pob."
"0102925008","Buliclic","012925008","Bgy","","","","R","  405 ","","  450 ","",""
"0102925009","Burgos ","012925009","Bgy","","","","R","  432 ","","  396 ","","Pob."
"0102925010","Cabaritan","012925010","Bgy","","","","R","  503 ","","  541 ","",""
"0102925011","Catayagan","012925011","Bgy","","","","R","  754 ","","  807 ","",""
"0102925012","Conconig East","012925012","Bgy","","","","R","  1,363 ","","  1,254 ","",""
"0102925013","Conconig West","012925013","Bgy","","","","R","  892 ","","  880 ","",""
"0102925014","Damacuag","012925014","Bgy","","","","R","  779 ","","  888 ","",""
"0102925015","Lubong","012925015","Bgy","","","","R","  324 ","","  430 ","",""
"0102925016","Luba","012925016","Bgy","","","","R","  812 ","","  786 ","",""
"0102925017","Nagrebcan","012925017","Bgy","","","","R","  720 ","","  772 ","",""
"0102925018","Nagtablaan","012925018","Bgy","","","","R","  423 ","","  412 ","",""
"0102925019","Namatican","012925019","Bgy","","","","R","  684 ","","  937 ","",""
"0102925020","Nangalisan","012925020","Bgy","","","","R","  1,018 ","","  962 ","",""
"0102925021","Palali Norte","012925021","Bgy","","","","R","  911 ","","  1,020 ","",""
"0102925022","Palali Sur","012925022","Bgy","","","","R","  908 ","","  918 ","",""
"0102925023","Paoc Norte","012925023","Bgy","","","","R","  812 ","","  796 ","",""
"0102925024","Paoc Sur","012925024","Bgy","","","","R","  394 ","","  314 ","",""
"0102925025","Paratong","012925025","Bgy","","","","R","  896 ","","  955 ","",""
"0102925026","Pila East","012925026","Bgy","","","","R","  662 ","","  746 ","",""
"0102925027","Pila West","012925027","Bgy","","","","R","  558 ","","  601 ","",""
"0102925028","Quinabalayangan","012925028","Bgy","","","","R","  240 ","","  255 ","",""
"0102925029","Ronda","012925029","Bgy","","","","R","  759 ","","  861 ","",""
"0102925030","Sabuanan","012925030","Bgy","","","","R","  1,437 ","","  1,253 ","",""
"0102925031","San Juan","012925031","Bgy","","","","R","  800 ","","  906 ","",""
"0102925032","San Pedro","012925032","Bgy","","","","R","  423 ","","  450 ","",""
"0102925033","Sapang","012925033","Bgy","","","","R","  433 ","","  445 ","",""
"0102925034","Suagayan","012925034","Bgy","","","","R","  422 ","","  351 ","",""
"0102925035","Vical","012925035","Bgy","","","","R","  944 ","","  979 ","",""
"0102925036","Bani","012925036","Bgy","","","","R","  609 ","","  688 ","",""
"0102926000","Santa Maria","012926000","Mun","","","3rd","","  30,321 ","","  30,006 ","",""
"0102926001","Ag-agrao","012926001","Bgy","","","","R","  1,006 ","","  1,076 ","",""
"0102926002","Ampuagan","012926002","Bgy","","","","R","  579 ","","  626 ","",""
"0102926003","Baballasioan","012926003","Bgy","","","","R","  769 ","","  706 ","",""
"0102926004","Baliw Daya","012926004","Bgy","","","","R","  456 ","","  500 ","",""
"0102926005","Baliw Laud","012926005","Bgy","","","","R","  584 ","","  633 ","",""
"0102926006","Bia-o","012926006","Bgy","","","","R","  577 ","","  532 ","",""
"0102926007","Butir","012926007","Bgy","","","","R","  724 ","","  635 ","",""
"0102926008","Cabaroan","012926008","Bgy","","","","R","  1,485 ","","  1,293 ","",""
